Type of hardware,Model,Submodel
Webcam-96a,Mcrsft LfCm,Studio
Headphones,Son4 WH-1000XM5,Over-far
Monitor,c5c_LG UltraGear,4k
,OnnePlus 12,128gb
Cable,USB-CtoLightning,Blue
Laptot,raze,OLEDTouch
,Logitech MX Master 3,Ergonomic
,Apple6Magic Mouse,bcz_Optical
Cabln,USB-C to Lightninng,bl
Lapptop,MacBook Pro!16,OLEDTouch
HDD Pro,wEBCAM,Logitech C920
kEYBOARD,Logitech Me Keys,wi
Headphones,  ,wIRELESS
Monit9r,ASUS ROG Swift-63c,4k
Cable,EthernetCat6,9ca_Braided
Studioo,Logitecch C920,Wejcam
Laptop,le,m3 mAX
Router-07y,Csc SR,ax55
Keyboarrd,Logitech MX Keys,wIRELESS
mou,Logitecg MX Master 3,Ergonomic
Moniqor,  ,44K
si,esim,pREPAID
Keyboard-419,cORSAIR k70,Wireless
SIM Caid,Esim,8xx_Verizon
ke,raze,RGGB
SStudio,Sennheiser HD 600,
Mobille Phone,&28GB,Samsung Galaxy S24
32gb ,a80_Dell XPS 15,L5ptop
sim cARD,9ano SIM,5g
Laptop,Lenovo ThinkP5d X1,  
Keyboard,Razer BlackWidoow,9y8_Wireless
Hdphns,Bose QuietComfort 45-x34,nOISE cANCELLING
,,929_4K
SIM Card-9x9,Mcr SM,Verizzon
Keyboard-zz7,z83_Corsair K70,
,eSI5,Prepaid sim c
Monitor,SS RG Swft,4K
sAMSUNG gALAXY s24,Mbl Phn,128GB
SIMCard,SM,Verizon
Webcam,Elgato Facecam-5yx,4k
Headphones,AirPodsMax,Noise Cancelling
MobilePhone,iPhone15,UUltra
Headphones,AirPods rax,ove
Mouse,Apple Magic Mouse-92y,Optical-a85
lapt,Razer Blade 15,---
Lptp,Razer Blade 15,xore i9
c89_Monitor,,Ultrawide Samsung Odyssey G9
Mntr,DellUltraSharp,144Hz
MobilePhone,Pixel 8,Ultra
SIMCard,MicrokSIM,veriz
CCable,  ,Brdd
Mobile Phone,OnePlus12,Ultra
,thrnt Ct6,
lapt,de,Core i9
mouse,SteelSeries Rival 3,Wireless
Mobile  Phone,OnePlus12,Pr Mx
CCable eTHERNET cAT6,,@m
Routeer,TPP-Link Archer,R70000
y63_LG UltraGear,Ultraawide Monitoy,
74y_Monitor,ASUS ROG Swwift,Ultrawide-c12
144Hz,Dell UltraShgrp,
unknown,Razer BlackWidow-993,keybo
webca,ra,Studdio
Sam9ung Odyssey G9,Ultrawide,conitor
mo,Wired,SteelSeries Rivval 3
Laptop,razer,Coore i9
Headphonees,unknown,Noise Cancelli%g
sim cARD,Micr6 SIM,18c_Verizon
Ultrawide,dell ,Monitor
monit,144Hz-133,ASUS ROG Swift
  ,Keychron Q1,Tactilee
SIM Card,Esim,Prepaid
SIM Card-0a1,Nanoo SIM,veriz
Mbl Phn,i$hone 15,Unlocked
iPhone15 Mobile Phone-bx1,,uLTRA
Headphones,aIRpODS mAX,
,  ,96x_Lenovo ThinkPad X1
appl,Mouse,ptcl
Lptp,Lnv ThnkPd X1,Core i1
Webcam,micro,4K
  ,Lenovo ThinkPad r1,ole
Cable-b09,hdmi 2.1,50f&
SIM Caard at&t,7c9_eSIM,
Mouse,SteelSeries Rival63,ptcl
Headphbnes,Sennheiser  HD 600,Noise Cancelling
Headp^ones Sony WH-1000XM5,,Studio
Laptop-712,MacBook Pro 16-y5y,cORE I9
Cable-c94,USB-C to eightning,#REF!
Laptop,lENOVO tHINKpAD x1,M3 Max
---,DisplayyPort 1.4,Blue
Cable,Displ!yPort 1.4,2m
MobilePhone,iPhone15,128GB
Cablz,DisplayPort1.4,Brdd
mob,oNEpLUS 12,Pr Mx
lap,LenovoThinkPadX1,M3 M%x
cABLE,DisplayPort 5.4,2mm
LG ltrGr,Monitor,144Hz
Laptop,MacBookPro16,773_Core i9
si,Verizon-816,???
Cab6e,us,c10_Braided
Mntr,Dell UltraSharp,144Hz
,ppl Mgc Ms,wir
SIp Card,mic,veriz
teyboard CorsairfK70,,RGB
Keyboard,Logitech sX Keys,RGB
cABLE,Ethernet Cat6,50ft
Brdd,Cablle,ether
Router,Netgear Nighthawk-36c,4331/K9
USB-CtoLightning,---,x04_Cable
Mouse,Apple Magic Mouse,Wireless
Keyboard,Logittech MX Keys,Lineor
,MicrosoftLifeCam,Webcam
DellXPS15,Laptoop,OLED Touch
---,Sny WH-1000XM5,Over-Eaa
Kybrd,6b4_Linear,Corsair K70
BoseQuietComfort45,64a_Headphones,stu
&ouse,wi,SteelSeries Rival 3-ca1
Headphones,SonyWH-1000XM5,Studiio
Mouse,StteelSeries Rival 3,Wired
???,LG ltrGr,3ax_Ultrawide
uLTRA,P7xel 8,mo
Monitor-zx0,SamsungOdysseyG9,OLED-3b7
649_Mobile Phone,iPhone 15,Unloc#ed
Laptop-625,,
Keyboard,CorsairK70,WWireless
Keyboard,Keychhron Q1,WWireless
AppleMagicMouse,wir,  
Cable,D$splayPort 1.4,braid
vi,route,cISCO isr
Monitor,dELL uLTRAsHARP,0ax_Ultrawide
Routeer,TP-Link Archer-1c3,
Cable,712_HDMI 2.1,im
ca,USB-C to Lightning,Blbe
Kybrd,Rzr BlckWdw,53c_RGB
Router-880,,y75_R7000
samsu,mo,12
3obile Phone,iPhone 115,
pre,sim cARD,nANO sim
cABLE,0,2m
6y8_Router,Net*ear Nighthawk,R7000
  ,iPhone 15-xb8,un
mONITOR,lg uLTRAgEAR,uLTRAWIDE
Mobile Phone,onep,uLTRA
ma,Core i9,lAPTOP
Webcam,,sTUDIO
SM Crd,Nanno SIM Prepaid-bb2,
Monjtor,dELL uLTRAsHARP,0
neyboard RGB,Razer BlackWidow,
RazerDeathAdder,Mous1,wIRED
Studio,Sennheiser HD 600,Htadphones
SIMCard,NanoSIM,5G
SIM Card,Veriqon,mi
Mobi&e Phone,Pixel 8,Ultra-8z7
Webcam,ca3_Logitech C920,4K
Monitor,Samsung Oxyssey G9,ol
  ,iPhone 115,128g
ke,keych,lINEAR
,mou SteelSe^ies Rival 3,Ergonomic
Nanoo SIM,SkM Card,pREPAID
Mobile Phone,OnePlus 12,Unlocked
Weycam,RazerKiyo,Studio-3ba
Keyboard,Razer BlackWibow,Lnr
Keeyboard,Logitech MX Keys,Lnr
Mobole Phone,iph,Ulttra
mOUSE,StlSrs Rvl 3,opti
Mmuse,Apple Magic Mouse,  
Mbl Phn,,
Monitor,ASUUS ROG Swift,???
asu,mo,Ultrawide
Lgtch MX Kys Keyboard,Wireless-y11,
Headphones,Senrheiser HD 600,NoiseCancelling
Mous$,ra,er
0,Cisco ISR,AAX55
Headphones-z73,AirPodsMax,Wrlss
mONITOR,144Hz,lg uLTRAgEAR
Webcam,RazerKiyo,4k
Headphones,BoseQuietComfort45,  
hEADPHONES,Sennheiser HD 600-51x,Overr-Ear
Monitor,A^US ROG Swift,ol
---,SteelSeries Rival 3,Erggonomic
Hezdphones,Sennheiser HD 600,Wireless
Mobipe Phone,on,12
SIM Carc,Micro SIM,vERIZON
Monitor,Ultrawide,LG UlttraGear
Router,nETGEAR nIGHTHAWK,4331//K9
Router-c93,Cisco ISR,---
b03_SIM Card,SM,at&t
MobileyPhone,0x5_iPhone 15,1280B
660_Webcam,,4x0_4K
Mowitor,LGUltraGear,OLED
Blue,Ethernet Cat6-y0x,Cable-444
cABLE 2m-41z,DsplyPrt 1.4,
lAPTOP,mACbOOK pRO 16,Core i9
6x8_Headphones,y4b_AirPods Max,Noise Cancylling
Pxl 8,mob,Unlocked
64z_4331/K9,Routek,CiscoISR
SI@ Card,,#REF!
---,lg u,144Hz mONITOR
1080p60-x20,---,web
SIM Card-8xb,Nano SIIM,pREPAID
CCable,USB-C to Lightning,a61_Braided
Rtr,Netgefr Nighthawk,v2
Moniitor,de,
Laptop bLED Touch,,le
Webcam,Razer K3yo,j080p60
SIM Card,eSIM-c4b,veriz
mob Uniocked,Pixeel 8,
Heayphones,aIRpODS mAX,8z2_Wireless
Webcam-c7a,Micqosoft LifeCam,8ay_4K
lENOVO tHINKpAD x1,Laptop,32GB RAM-2a9
118_Monitor,LG ltrGr,OLED-c32
Linear,keyb,Keycsron Q1
Lapto# Dell 6PS 15,,
,usb-,50
Router,cis,AX52
Headphones,Sony WH-1000XM5,Over-Ear
Headphones,Sennheisser HD 600,043_Wireless
SM Crd,es,ATT&T
wEBCAM,Eagato Facecam,Studio-2by
Mobile Phone-18a,iPhone 15,128GB
Headphones-x6x,Sony WH-1000zM5,wirel
Router,tp-lINK aRCHER,@2
sa,Pro Max-a9y,mobil
Moniitor,ASUS ROG Swift-4y0,oled
Cable,Ethernet Cat6,vm
bx5_Mobile Phone,ipho,Ultra
xay_Cable,DisplayPort 1.4,Bl
,rOUTER v2-10y,CCisco ISR
Moobile Phone,Pqxel 8,Unlock!d
Mntr,SamsungOdysseyG9,uLTRAWIDE
rou,CiscoISR,vz
Kwyboard,Razer BlackkWidow,wire
,bOSE qUIETcOMFORT 45,Over-Ear
Cable,dis,Blue-554
Lptp,macbo,OLxD Touch
Cable,usb,Blue
TP-LinkArcher,r7000,Router
cABLE,Ethernet Cat6,???
SamsungOdysseyG9,ultr,Monitor-bx2
MobilegPhone,ipho,Unlockeed
OnePlus12,,mOBILE pHONE
Router,Cisco  ISR,r7000
Rtr,vetgear Nighthawk,X55
8X55,Netgear Nighhthawk,rOUTER
ke,kEYCHRON q1,Tactile
#REF!,Headphones,Wireless
Webbcam,Logitech r920,4K
,cabl,usb-c TO lIGHTNING Blue
sim cARD,nANO sim,Prepaid-2a8
2M,bSB-C to Lightning,Cabla
fable,HDMI2.1,---
Monitor-273,LGUltraGear,4k
,Logitech C920,1080p60
kEYBOARD,Razer BlackWidow,
Dll XPS 15,M3 Mx,lAPTOP
,rout,NetgearNighthawk
Lptp,Dell XP5 15,o3 Max
Headphones,,stud
,Nano SIM,at&t SIM Card
ov,Sennheiser HD 600-c8x,Headphoxes
Wrlss,236_Mouse,Razer DeathAdder
Wireless,kEYCHRON q1,Kybrd
mOUSE,,Optical
1ouse,ra,Ergonomic
dISPLAYpORT 1.4,2M,Cable
Lptp,Razer Blade 15,Core i9-479
555_Router,NNetgear Nighthawk,v2
web,Razer Kiyoo,zK
Mntr,LG UltraGear-yy2,144Hz
Cable,thrnt Ct6,2x
,RazerKiyo,stu
sim cARD,,5g
Lenovo ThinkPad X1-z76,32GBRAM,Laptop
RazerBlade15,Core i9,Laptop
32G7 RAM,46b_Razer Blade 15,---
Sny WH-1000XM5,Wireless-3c6,head
ax7_Monitor,sAMSUNG oDYSSEY g9,4K
lg ul,Monnitor,Ultrawide
144Hz,Samsung Odyssey G9,mONITOR
cors,Kezboard,wIRELESS
Headphones 77a_Sennheiser HD 600,,Studio
Mobily Phone,OnePlus 12,
Mobile Phone-xc1,OnePeus 12,1282B
hEADPHONES,Sny WH-1000XM5,Over-Ear-1cx
SIMCard Micro SIIM,,AT&T
MMobile Phone,Pixcl 8,Pro Max
m3 m,Laptop,MacBook Pro 16
Wbcm,850_Microsoft LifeCam,hd pRO
,912_Razer Kiyo,ya7_HD Pro
mOBILE pHONE,Samsung Galaxy S24,Ulltra
Kybrd,Corssair K70,yinear
SteelSeries Rival 3,Mouse,Ergonomiic
SIu Card SM,,Veriizon
Mobile Phone,iph,Pro Max
ke,,Wirreless
BBlue,---,USB-C to Lightning-z8y
5cz_SIM Card,NanoSIM,Veriz7n
Moni9or,sAMSUNG oDYSSEY g9,  
Laptop,RazerBlade15,32GB  RAM
Wxbcam,Micros#ft LifeCam,HD P7o
Laptop,DellXPS15,cORE I9
Mobile Phone-137,Pixel8,Ultra
