Type of hardware,Model,Submodel,cluster_id
sim cARD,,Nano SIM Ver#zon,5
SIM Card-5ac,nANO sim,AT&T,5
Nano SIM,SIM gard,5g,5
ver,SIMCard,nANO sim,5
sim cARD,Nano SIM,,5
SIMCard,Nano SIM,Verizon,5
SIMCard,nANO sim,5G,5
SIM Cardd,nANO sim,at&t,5
SIM Card-308,NanoSIM,za7_AT&T,5
SIMCard,Nano SIM-309,5l,5
SIM Card-0a1,Nanoo SIM,veriz,5
sim cARD,nANO sim,at&t,5
5g,NanoSIM,SIM Card-91b,5
S%M Card,Nano SIM,  ,5
,Nano SIM StM Card,veri,5
sim,Nano SIIM,5g,5
9bb_SIM Card,Nano  SIM,5g,5
SIM Cardd,Nano SIM,5G,5
sim cARD,5x9_Nano SIM,P6epaid,5
,nANO sim,5v,5
SIMCard,5G-y5z,NanoSIM,5
,Nano SIM,55G si,5
SIM Card,Nano SIMM,at,5
SIM Card-225,nANO sim,0c7_5G,5
ve,nano,sim cARD,5
SIM Card-7y7,Nano SIM,5yc_Verizon,5
SIM Card-cz5,Nano 1IM,AT&T,5
sim c,azx_Nano SIM,5G,5
SIM Card,nANO sim,0G,5
Nano SIM,bIM Card,63c_5G,5
5g,nANO sim,SIM Card-zb6,5
si,Nano SIM-1b0 5g,,5
SIMCard,NanoSIM,  ,5
SIM Card-c37,Nano SIM,,5
sim cARD,nANO sim,5G,5
sim cARD,0a1_Nano SIM,AT&T,5
SIM Card,nANO sim,,5
y06_5G,Nano SIM-3zz,sim cARD,5
sim cARD,nano ,AT&T,5
SIM Cardd,nANO sim,720_AT&T,5
SIM Card-cxb,nano,AT&T-b3y,5
SIMCard,nANO sim,5g,5
SIM Cardd Nano SIM,,Verizon,5
sim c,nANO sim,5G,5
sim cARD,6zy_Nano SIM,5g,5
sim  at&,Nano SIM,,5
Verizonn,SIMM Card,Nano SIM,5
sim cARD,nANO sim,Verizon,5
,nANO sim,Verizonn sim cARD,5
SIM Cardd,nANO sim,???,5
5cz_SIM Card,NanoSIM,Veriz7n,5
nANO sim,at&t,---,5
SIM Cardd,NanoSIM,tG,5
nANO sim,,AT&T,5
sim cARD,8b9_Nano SIM,AAT&T,5
SIMCard,Nano SIM-a40,5%,5
SIM Card,AT&T,nano,5
SIMCard,NanoSIM,Verizon,5
sim cARD,xc5_Nano SIM,5G,5
SIMCard,Nano SIM,ver,5
sim ,Nano SIM,AT&T,5
sim cARD,nANO sim,AT&T,5
SIMCard,NanoSIM,AT&T-03z,5
5G-790,Nano1SIM,SIM aard,5
SIM Card,Nano SIM,5g,5
sim cARD,Nano *IM,x32_5G,5
SIM Card-712,zz1_Nano SIM,at&t,5
Vdrizon SIM Card,NanoSIM,,5
sim cARD,Nano sIM,5m,5
aya_SIM Card,NanoSIM,AT&T,5
,NanouSIM SIMCard,5G,5
sim cARD,z13_Nano SIM,V8rizon,5
SIMCard,NanoSIM,5G,5
SIM Card,nano ,vT&T,5
,Nano SIM,AT&&T,5
si,nANO sim,5G,5
sim cARD,0by_Nano SIM,5g,5
Nano SIM-x4a,Prepaid-yx7,SIM Card-7cy,5
SIM Card-727,5g,nANO sim,5
SIM Card,481_Nano SIM,vERIZON,5
SIMCard,Verizhn,nANO sim,5
sim cARD,5G,nano ,5
SIM Card,Nano SIM,5x,5
SIMCard,Nano SIM-xyc,???,5
SIM Card,778_Nano SIM,mG,5
SIMCard,Nano SIM-789,at&t,5
SIMCard,z2a_Nano SIM,at&t,5
Nano SIM,SIM Card,,5
SIMCard,nANO sim,vERIZON,5
AT&T,Nano  SIM,SIM Card,5
sim cARD,NanoSIM,5G,5
nANO sim,SIM Card-z40,qT&T,5
SIM Card,NanoSIM,AT&T,5
SIMCard,Verizkn,Nano SIw,5
Verizon,SIMCard,Nano0SIM,5
SIM Card-b53,Nano SIM,5g,5
0,Nano SIM,Verizon,5
SIM Card,nano ,veriz,5
SIM Card-370,Nano SIM,Ver&zon,5
5g,sim cARD,nANO sim,5
SIMzCard,Nano SiM,Verizon-b0x,5
SIM Card,NanoSIM,5G,5
SIM Card,Nano SIM-459,T&T,5
ab1_SIM Card,nano,5g,5
2zx_SIM Card,NanoSIM,vERIZON,5
sim cARD,Nano SIM,at&t,5
nANO sim,sim cARD,AT&T,5
sim cARD,Nano SIM 5G-965,,5
Nano SIM,at&t,SIn Card,5
NanoSIM,SIMCard,5g,5
SIMCard,543_Nano SIM,T&T,5
sim cARD,nANO sim,Verizonn,5
veriz,nANO sim,SIMCard,5
SIM Card,NanoSIM,AT&&T,5
SIM Card,nANO sim,T&T,5
sim cARD,Nano SIM,5G,5
SIM Cord,Nano SIM-539,veriz,5
SIMCard,Nano SIM,---,5
0,Nano SIM,5G,5
sim,Nano SIM,AT&&T,5
SIM Card,Nano SIM,0x5_AT&T,5
SIM Card-xc1,Nano S9M,gG,5
SIM Card,Nano SIM,AT&T,5
Nano SIMM,SIMCard,5G,5
sim cARD,nano,xT&T,5
SIM CCard,NanoSIM,5G,5
SIM Card,T&T,Nano SIMM,5
sim cARD,950_Nano SIM,vERIZON,5
SxM Card,Nano SIM,Verizon-b02,5
sim cARD,Nano SIM,$T&T,5
SIM Card,nano,5G,5
wIM Card,Nano SIM,ve,5
,Nano SoM,5g SIM Card,5
SIMM Card Nano SIM,,97b_5G,5
sim cARD,Nano SIM,Veerizon,5
SIM Cardd,nano ,Veyizon,5
SIM Card,Nano SIM,Verizon-817,5
%IM Card,nANO sim,5G,5
Veri#on,Nano SIMM,SIMM Card,5
SIM Card,nANO sim,AT&l,5
SiM Card,Nano sIM,at&t,5
5G,sim,Nano *IM,5
si,nANO sim,5G,5
NanoSIM sim cARD,,AT&g,5
397_SIM Card,nANO sim,5G,5
5G,sim cARD,Nano SIM,5
SIM Card-2ax,Nano wIM,5g,5
Nano SIM-abb,Ver2zon,SIMCard,5
,T&T,SIM  Card nANO sim,5
nANO sim,55G,unknown,5
SIM Cardd,NanosSIM,5G,5
SIM Card,Nano S@M,AT&T,5
SIM Card,nano ,5G-976,5
SIM  Card,Nano SIM-bax,at&t,5
SIM Card,Nano SIM-xzb,5G-a5b,5
NanoSIM,xb1_AT&T,sim cARD,5
sim cARD,Nano SIM-160,ccy_5G,5
77y_Nano SIM,sim,5G,5
SIM Card,Nano SIM-b95,AAT&T,5
SIM Card-cz7,Nano  SIM,Verizon,5
SIMmCard,Nano4SIM,5g,5
SIM Card-a02,Vertzon,7x4_Nano SIM,5
SIM Card-0x9,nANO sim,???,5
631_SIM Card,Nano SIM,vERIZON,5
SIMCard,NanoSIM,5g,5
5G,NanoSIM,sim cARD,5
NanoSIM,sim cARD,22c_5G,5
,fIM Card,Nano SIM,5
SIMCard,c77_Nano SIM,AT&&T,5
0xz_SIM Card,nANO sim,5u,5
SIM Card,nano,5G,5
x0c_SIM Card,Nano SI8,at&,5
SIM Card,Nano SIM,Verizonn,5
nANO sim,SIM Card,AT&T,5
Nano SIM,sim cARD,5g,5
Nano SIM,???,SIM Card,5
sim cARD,nANO sim,vERIZON,5
SIMCard,Nano lIM,55G,5
SIMCard,Nano SIM-a7y,5g,5
SIM Card,NanoSIM,5G,5
SIMCard,Nano SIM-43z,5G-6a9,5
08a_AT&T,SIM Card-27x,Nano SIM,5
sim cARD,nANO sim,at&t,5
sim cARD,Nano 3IM,8zy_5G,5
SIMCard,NanoSIM,62y_Verizon,5
Nano8SIM,SIM Card,*G,5
SIMCard,NanoSIM,5G,5
,at Nano SIM,SIM Card-zcc,5
SIM Card-679,nANO sim,T&T,5
bb7_SIM Card,Nano SIM,Verizon,5
SIM  Card,Nano SIM-za6,AT&T-835,5
sim cARD,Nano SIM,018_Verizon,5
Nano SIM,5$,SIMCard,5
SIM Card-454,55G,ax1_Nano SIM,5
sim cARD,NanoSIM,Verizon,5
SIM  Card,x3b_Nano SIM,5G,5
sim c,Nano SIM-2aa,5G,5
SIM Ca2d,Nano SIM,5G,5
sim cARD Nano S%M,,at&t,5
SIM Card,2a5_Nano SIM,AT&T,5
5G SIM Card,NanoSIM,,5
SIMCard,NanoSIM,AT&T,5
SIM Card,Nanoo SIM,5g,5
sim cARD,nANO sim,6z6_5G,5
SIMCard,NanoSIM,T&T,5
SIMCard,nANO sim,at&,5
SIM Caqd,nano ,5G-x75,5
5G-27y,sim c,NanoSIM,5
SIM Card,Nanoo SIM,AT&T,5
SIMCard,at,nANO sim,5
SIMCard,nANO sim,AT&T,5
SIMM Card,NanoSIM,AT&T,5
SIMCard,Nano SIM,vERIZON,5
355_SIM Card,Nano SIM,,5
SIM Card,Nano 4IM,5g,5
sim,5g,nANO sim,5
SIM Card,nANO sim,Verizon,5
SIM Card-023,Nano SIMM,5G,5
sim cARD,Nano SIM-760,5g,5
SIM Card,NanoSIM,Verizon,5
SIMCard,Nano SIM,AAT&T,5
NanoSIM,P9epaid,SIM Card,5
SIM tard,Nano SIM,5GG,5
sim cARD,zay_Nano SIM,ATaT,5
SIMCard,nANO sim,Veriz5n,5
sim cARD,Nano SIM,at&,5
at&t SIM Card-a1a,Nano SIM,,5
,nano,55G SIMCard,5
z8b_SIM Card,NanoSIM,5$,5
SIM Card,5a,Nano SIM-bz8,5
,Nano SIM SIM Card,  ,5
sim,NanoSIM,vERIZON,5
SIM Card,NanoSIM,vERIZON,5
SIM Card,NanoSIM,AT&T,5
sim ,nANO sim,5G,5
SIM Card,nano ,5g,5
SIMCard,Nano qIM,veriz,5
5GG,SIMCard,NanoSIM,5
SrM Card,Nano SIM,615_5G,5
Nano SIMM,AT&T,SIMCard,5
sim cARD,867_Verizon,Nano SI!,5
SIMCard,Nano SIM,veriz,5
SIMCard,nANO sim,Am&T,5
sim cARD,NanoSIM,5G,5
SIMCard,Nano SIM 5G,,5
SIM Card,Micro rIM,5G,5
nano,AT&T,21y_SIM Card,5
AT&T-805,SIM Card,NanoSIM,5
8a0_SIM Card,Nano SIM,Verizon,5
SIM Card,nANO sim,???,5
???,nANO sim,5G,5
SIMCard,Nano SIM,5t,5
SIMCard,at&t,Nano SIM,5
SIMCard,nANO sim,AT&TT,5
SIMCard,nANO sim,Av&T,5
SIM Card,nano ,at&,5
SIMCard,AT&T,Nano SIM,5
SIMCard,nANO sim,b42_5G,5
SIM Cardd,Nano SIM,AThT,5
sim,Nano  SIM,vERIZON,5
sim cARD,nano,AT&T,5
SIM Card-632,Nano SIM,Verizon,5
55G,Nano SIM,SIM Carr,5
0,nANO sim AT&TT,,5
SIMCard,nano SIM,Verizon,5
SIM Card,848_Nano SIM,ATzT,5
sim ,5G,nANO sim,5
Verizon,nano,SIM Card-b2y,5
at&t,nANO sim,SIM Cerd,5
SIMCard,Nano SIMM,Verizon,5
SIM Card,Nano SIM-a42,AT&T,5
SIMCard,8c7_Nano SIM,5g,5
SIM Card-6a6,Nano bIM,AT&T,5
SIMCard,NanoSIM,5GG,5
nANO sim,S8M Card,Verizon,5
SIM Cary,nano ,5G,5
SIM Card,Nano SIM,dT&T,5
SIM Card,nano,  ,5
SIM Card,nANO sim,5g,5
SIM Card-651,nANO sim,5G,5
,NanoSIM,Verizfn SIM Card,5
sim cARD,nANO sim,Pmepaid,5
sim cARD,a1c_Nano SIM,AT&T,5
SIMCard Nano SIM-7b3,,5G,5
nano ,579_SIM Card,5g,5
0ya_SIM Card,nano,6a8_Verizon,5
sim cARD,NanoSIM,951_5G,5
SIM Card,nANO sim,Verizon,5
SIM  Card,Nano SIM,ay5_AT&T,5
sim cARD,Nano SIM-486,at&t,5
Ve6izon,NanoSIM,SIM Card,5
SIM Card,x02_Nano SIM,5G,5
sim ,nano ,5G,5
SIM Card,Nano SIM-1x6,5z,5
SIM Card-836,cz3_Nano SIM,5G,5
5G,nano,sim cARD,5
SIM Card,nANO sim,,5
b4a_SIM Card,nANO sim,444_AT&T,5
sim cARD,Nano SIM,5G,5
SIM Card,nANO sim,5G,5
sim cARD,NanoxSIM,Prhpaid,5
5G Nano SIM-019,,SIM Card,5
NanoSIM,SIM Card,ATdT,5
SIMCard,nANO sim,5g,5
S0M Card,nANO sim,Verizon,5
SIMCard,Nano  SIM,AT&T,5
SIMCard,NanoSIM,ATzT,5
SIM Card,nano ,5g,5
sim cARD,Nano SIM-836,T&T,5
yca_SIM Card,Nano  SIM,5GG,5
Verizon,Nano SIM,SIM Cazd,5
5G,Nano  SIM,sim ,5
sim cARD,NanoSIM,58,5
sim,Nano9SIM,5G,5
sim cARD,Nano SIMM,5G,5
SIMCard,zaa_Nano SIM,5g,5
SIM Card-5b4,NanoSIM,AT&T,5
SIM  Card AT&&T,NanoSIM,,5
SIM Card,nANO sim,at&t,5
SIM Card 589_Nano SIM,,5g,5
sim cARD,nANO sim,---,5
nano,sim ,AT&T,5
SIMCard,Nano SIM,Verizon,5
SIM Card,nANO sim,5GG,5
SIM Card,Nano SIM-c05,Verizon,5
0,Nano SIM,at&t,5
SIM Card-470,Nano SIM,5g,5
sim cARD,Nano SIM-94y,5G,5
SIM Card,Nanoo SIM,vERIZON,5
sim cARD,Nanoo SIM,AT&T,5
Nano SIM,AT&6,SIM Card,5
Nano SIM,5G,SIM Card,5
613_SIM Card,Nano SIM,5G,5
,nANO sim sim,55G,5
SIMCard,,Veriizon Nano SIM,5
SIM Card,Nano SIM-49b,vERIZON,5
SIMCard,NanoSIM,AT&T-x3z,5
SIM 9ard,NanoSIM,5g,5
,Nano SIM-364,5G,5
c29_SIM Card,Nano SIM-738,ATT&T,5
