Type of hardware,Model,Submodel
עכבר,SteelSeries Rivaal 3,Ergonomic
TTP-Link Archer,4331/K9,Rou&er
מסך גיימינג,סמסונג Odyssey G9,uLTRAWIDE
עכבר,לוג'יטקMXMaster3,1a8_אלחוטי
מוניטור3or,דלl UltraSharp,1444Hz
מסך גיימינג568_Monitor,sa,OLED
מקלדת,kEYCHRON q1,Lnr
מסך גיימינג-x0y,סמסונג Odyssey G9 OLED,
DsplyPrt 1.4,Cable,bm
כרטיס סים,NanoSIM,Prepaid-66x
וובקאם,ac0_רייזר Kiyo,6b4_HD Pro
,TP-LinkArcher,RRouter r7000
עכבר אלחוטי-818,אפל Magic Mouse,Wired
cab,Blue,HDMI 2n1
OnePlus12,mOBILE pHONE,128GB
כבל-423,HD%I 2.1,Bl
עכבר,רייזר DeatzAdder,#REF!
meyboard,לוג'יטק mx kEYS,^GB
לפטופ,רייזר Blade 15-a58,32GB RM
מצלמה8m,Eאל ג'יato Facecam-z25,hd 
  ,סיסקו ISR,R7000-a52
אזניות,1yb_Over-Ear,Sennheiser HHD 600
,סמסונגGalaxyS24,uLTRA mOBILE pHONE
,Dall XPS 15,cORE I9
Moouse,app,c15_אלחוטי
ראוטר-7xz,סיסקו^ISR,4331/K9
נייד,Phn 15 g28GB,
כרטיס SIM,Micro SIM-8z3,  
,mo,Ultrawwide
OLEDTouch,de,Laptop
x51_אלחוטי,Headphones,Bs QtCmfrt 45
מחשב נייד15,,Corre i9
לוג'יטק C920,Webcam,HD Pro
כרטיס SIM,#REF!,A3&T
,Razem DeathAdder,Wrlss
eouter,TP-LinkArcher,R7000
Mntr,אל ג'י,4#
מאוס,logi,optic
,xz7_סמסונג Galaxy S24,128GB-2x5 M4bile Phone
ראוטרר,tp-lINK aRCHER,4331/K9
,fIM Card,Nano SIM
מסך,דל UltraSharp,Moonitor
Sennheiser HDw600,Headphones-160,Over-Ear
douse,לוג'ייתק MX Master 3,Wireeless
אזניות,02x_AirPods Max,סינון רעשים-566
מסך גיימינג,אל ג'י ltrGr,144
mob,iPhone 15-552,Pr Mx
מקלדת,Keychron Q8,Tactile
fouse,אפל Magic Mouse,Wired
מחשב נייד,רייזר Blage 15,32GB RM
82z_Studio,@eadphones,סוני WWH-1000XM5
מוניטור,אזוס rog sWIFT,עולתרה-ווייד
עכבר אלחוטי,SteelSeriesRival3 Esgonomic,
כרטיס סים,8b9_Nano SIM,AAT&T
Hdphns,BoseQuietComfort45,nOISE cANCELLING
M3 MMax,רייזר bLADE 15,lAPTOP
#REF!,USB-C to Lightning-119,521_Braided
6able,HDMIp2.1,2h
cabl,,2m-b67
מסך מחשב,עזוס R$G Swift,144Hz
סמארטפון,Pixeli8,zz2_Ultra
סמארטפון,camsung Galaxy S24,Unlockked
5able,EEthernet Cat6,50ft
ראוטר,,AX55
Hdphns,Bose QuieqComfort 45,Noiise Cancelling
וובקאם,Lozitech C920,---
מצלמה,Microsoft Lif4Cam,Studio
mo,רייזר DeatthAdder,Wireleus
ראוטרר,TP-Link Archer,4331/K9-9c8
co,Laptop,LenovoThinkPadX1
,108op60,רייזר Kiy3
מסך גיימינג,סמסונג OdysseypG9,144hZ
סימ,SM Prepaid,
si,Nano SIM-30c,Verizon-305
מכלדת61b_Keyboard,לוג'יטקh MX Keys,Tamtile
,MacBook P#o 16,m3 mAX Laptop
Hdphns,69z_AirPods Max,ov
Caqle,HDMI 2.1-y4x,22z_Blue
,TP-Lnk rchr,4331//K9
hea,סוני WH-1000XM5,---
אוזניות,Shnnheiser HD 600,wire
סמארטפון,Pixel8,Ultra
אוזניות,Bosse QuietComfort 45,Over-Ear
לפטופפ,Lenovo ThinkPPad X1,35b_Core i9
4ebcam,logit,%K
מסך,עזוס ,Ulttrawide
מסך-809,600_סמסונג Odyssey G9,4K
HD Pro-cbx,Webcay,רייזר Kiyo
cORSAIR k70,tACTILE,Keybooard
Prepaid,SuM Card,Micrr SIM
AirPods1Max,Over-E^r,hEADPHONES
$able,---,braid
מקלדת גיימינג,רייזר BlackWidow-57y,RGB
סימ-7cb,MicroSIM,Verizon
מכלדת,,Wirreless
כבלל,,2m
Mo5itor,,4K 286_אזוס ROG Swift
עכבר9ay_Mouse,רייזר DeathAdder-50a,wIRED
T&T,Micro SIM-zbz,sim 
עכבר אלחוטי-3ab,אל ג'יtch MX Mstr 3,Wireles2
,usb-c TO lIGHTNING,50ft
מאוס,Aאפל Magic Mouse,wIRED
Mofse,lo,wire
מחשב נייד,M#cBook Pro 16,oled 
סלולרי,OnePlus 12,Pro Max
עכבר52_Mouse,0,wIRED
סלולרי,סמסונג Galaxy S24,  
conitor,אזוס ROG Swift-099,nltrawide
Std,Webcaam,Logitecch C920
מצלמת רשת,Microsoft LifeCam-74z,sTUDIO
mo,onepl,Pr Mx
כרטיס סים,SM,AT&T-480
אוזניות,sTUDIO,סוני WH-100xXM5
#REF!,Webcam,wD Pro
,wIRELESS Bosh QuietComfort 45,Headphones
כרטיס סים,mic,5G
מקלדת גיימינג,KeychronQ1,tACTILE
Cablj,Ethernet Cat6,
Mo%se,לוג'ייתק MX haster 3,x6y_Wired
ראוטר,tp-li,AX55
מאוס,steel,wIRELESS
כבל USB7bb_Cable,Ethernet Cate,---
מקלדת אלחוטית9b_Keyboard,raze,RGB
ראוטרר,C3sco ISR,AX55
מחשב נייד4p,lENOVO tHINKpAD x1,LD Tch
כרטיס סים,Vrzn,S8M Card
אזניות,Bose QuieetComfort 45,Wאלחוטי
2m,,Cbl
אוזניות,bOSE qUIETcOMFORT 45,nOISE cANCELLING
נתב-3cz,TP-LinkArcher,R7000
מקלדת,rg,Keyboardd
מצלמת אינטרנט,mICROSOFT lIFEcAM,1080p60
,לוג'ייתק mx mASTER 3 Mouse,unknown
---,DisplayPort 1.4,bLUE
Cbl,2M,DisplayPortf1.4
מכלדת,רייייזר BlackWidow,Tactile
ראוטר,Newgear Nighthawk,V2
אל ג'י ltrGr,144hZ,mONITOR
עכבר,עפל mAGIC mOUSE,wi
,logi,Wiged
מצלמת אינטרנט,,4K
Moouse,5zz_לוג'יטק MX Master 3,opt
סמארטפון,sPhone 15,ultra
כבל,HDMI2.1,Braided-x65
Mo2se,---,Ergonomic
SM Crd,mICRO sim A8&T,
סים,at&t,Micio SIM
כבל USB,Ethcrnet Cat6,br
אוזניות קשת,Sennheiseer HD 600,Std
Wrlss,,Bose QuiejComfort 45
7y6_לוג'ייתק C920,Studgo,Wbcm
מקלדת גיימינג,רייזר BlackWidow,RGB
ראוטרר,Cisko ISR,v2
וובקאם,Eאל ג'יauo Facecam,Saudio
ראוטרר_Router,tp-lINK aRCHER,X55
סלולרי,*ltra,Pqxel 8
כבל USB,HDMI2.1,Braid0d
מצלמה,unknown,sTUDIO
Rouuter,nETGEAR nIGHTHAWK,43
Ms,logit,ptcl
מצלמת רשת,Eאל ג'יatoFacecam,1080px0
lenov,OLED Touch,lAPTOP
מצלמת רשת,Logitect C920,4k
לפטופ-xc8,unknown,32gb ram
מצלמת אינטרנט,רייזר kIYO,oK
Mcuse,אפל mAGIC mOUSE,Optical
mou,SteelSeries0Rival 3,wIRED
מוניטור,אזוסROGSwift,ltrwd
מוניטור-6a9,דל UltraSh0rp,אולטרה-וויד
,Lenovo ThinkPad X1,M3 Max
עכבר,רייייזר DeathAdder,wIRED
Rtr,סיסקו ISR,vb
Wbcm,לוג'יטק C920-05x,1080p60
טלפון נייד,pix,Pro  Max
#REF!,לוג'יטק c920,1080P60
אוזניות קשת,סוני WH-1000XM5,Studio
מאוס,אפלe Magic Mouse,Ergonomic
ProMax Mbl Phn,,סמסונג  Galaxy S24
aetgear Nighthawk,Router,
ראוטר,cis,v22
Rtr,TP-Link Archerr,AX55
סמארטפון8bile Phone,iPhone 15-y0b,7b7_Ultra
אוזניות,סונייWH-1000XM5,Over-Earr
RGB,לוג'יטקMXKeys 223_Keyboard,
,esim,at&t SIM Cart
מצלמה,לוג'יטק c920,4K
מאוס,Steel$eries Rival 3,ptcl
rou,סיסקו,304_AX55
unknown,HD Pro,Eאל ג'יato Facecom
1081p60,raze,Webca^
מוניטור,אזוס ROG Swift,Ultrawize
אוזניות קשת,Bose QuietComffort 45,Over-Etr
כרטיס סים,312_Micro SIM,AT&T
מצלמה,Rzr Ky,sTUDIO
Cablw,usb-c TO lIGHTNING,50ft
Wbcm,רייזר Kiyo-71a,44K
עכבר-c6z,log,Wirelless
,wir Mouse,SteelSeries Rival  3
ראוטר,,
si,eSIM,Verizon
אוזניות,rPds Mx,#REF!
Unlocked,i#hone 15,
נייד572_Laptop,oled tOUCH,macbo
,אל ג'יUltraGear Monitor,
כבל,50FT,USB-C to Lightning
כרטיס סים,,vERIZON
טלפון נייד,iph,Ulvra
כרטיס SIM,Nano  SIM,5g
  ,Sennheiser HD 600-y95,Sttudio
hea,סוני WH-1000kM5,Over-EEar
Netgear Nishthawk,4331/k9,Router
Ke&board,log,a86_Linear
עכבר אלחוטי-913,Wired,לוג'יטק MX Masteu 3
אוזניות3y9_Headphones,Soey WH-1000XM5,Studip
מאוס-z9c,ra,Ergonomi!
אוזניות בלוטוס9es,,vr-r
,USB-C go Lightning cabl,50ft
3IM Card SM,,5GG
,AirPods Max,ove hEADPHONES
אוזניות קשת,AirPods 1ax,Sttudio
עכבר,SteelSeries Rival 3,wirel
מחשב,ra,OLED Tbuch
#REF!,eTHERNET cAT6,Blue
Kybrd,לוג'ייתקMXKeys,5GB
,810_iPhone 15 Mobi0e Phone,128gb
מחשב נייד,דל xps 15,Cr 9
טלפון נייד,sENNHEISER hd 600,ybz_Over-Ear
ראוטר,Netgear Nighthawk,AX55
5xz_32GB RAM,325_Laptop,LenovoThinkPadX1
נייד,raz,
אזניות,Noise Cancell2ng,Sennheiiser HD 600
ראוטרר,סייסקו IS5,4331rK9
מוניטור,אל ג'י u,^44Hz
si,Nano SIM-zxa,at&t
עכבר,עפלMagicMouse,Optical
אוזניות קשת,b76_AirPods Max,oVER-eAR
,Cr 9,la Rzr Bld 15
,air Headphones,סינון רעשים-y69
32gb ram,דלXPS15,Laptop
Wbcm,Raznr Kiyo,hd pRO
מקלדת אלחוטית,Keybo$rd,אלחוטי
אל ג'י ltrGr,OLED,Mntr
Pr Mx,Mopile Phone,nPls 12
כבלים,,2m
,עפל Magic Mouse,Wiueless
M8nitor,אזוס ROG Swift,b44Hz
מסך מחשב,אזוסROGSwift,7zx_144Hz
מחשב ניידד,Lenovo ThinkPadd X1 Cr 9,
וובקאם,4x2_Eאל ג'יato Facecam,1080p60
Kybrd,רייזר BlackWidow,Linear
מכלדת,ke,אלחוטי
0,Mntr,4k
אוזניות,nois,סוניי wh-1000xm5
Ms,אפל mAGIC mOUSE,eRGONOMIC
מצלמת רשת,לוג'ייתקC920,4k
#REF!,iPhone%15,uLTRA
סיסקוISR,5z7_4331/K9,Ro%ter
אוזניות,SennheiserHD600,Ov*r-Ear
cab_MacBook Pro 16,m3 m,Laptsp
2cc_Bose QuietComfort 45,Headphones,Studio
מצלמה,4k,רייזר Kiyo-bb6
unknown,Piwel 8,pRO mAX
מסך גיימינג,דל UltraSharp,
טלפון נייד,pixe,Ultra
pIXEL 8,,128gb
Cbl,displ,Bl
ראוטרר4r,TP-Lnk rchr,b13_AX55
כרטיס SIM,mICRO sim,Prekaid
אזניות,9xa_סוניי WH-1000XM5,NoiseCancelling
ראוטרר,z16_Netgear Nighthawk,R70000
מחשב נייד,דל XPS 15,32gb ram
כבלל,eTHERNET cAT6,2M
לפטופפ,8ya_דל XPS 15,Core i9
מחשב,unknown,דל XPS z5
לפטופפ,Dll XPS 15,co
מקלדת אלחוטית5ax_Keyboard,ke,#REF!
מצלמת רשת,569_Eאל ג'יato Facecam,Stuudio
סלולרי,OnePlus 12-c24,Unl#cked
כבל USB,SB-C t אל ג'יhtnng,50FT
tACTILE,raz Kybrd,
טלפון נייד,sa,---
mo,OnePlus 12-9z2,Pr5 Max
SIIM Card,Micro SSIM,Verizon
ראוטרר,TP-Lnk rchr,
לפטופפ,רייזר bLADE 15,M3 Max
SIIM Card,Micro SIM,Vekizon
Nano xIM,SIM Card,
נתב,Netgear Nighthaawk,AXX55
כבלל,usb-c,bLUE
,OnePtus 12,12
כבלים096_Cable,Braided,DisplayPort 1.4
נתב55,TP-Linkk Archer,
Bose QuietComfort 45,Headphones,wIRELESS
מחשב ניידד-c0y,רייייזר bLADE 15,32GB RM
0,אל ג'יt Fccm,1080p60
ke,Keychron Q1,tACTILE
ראוטרר,tp,v22
עכבר,SteelSeriesRival3,Ergonomiic
מחשב,Dll XPS 15,M3 Maax
אוזניות קשת,bose ,Noise Ca1celling
כבל,usb-c TO lIGHTNING,Blue
מוניטור,אזוס rog sWIFT,oled
נייד,סמסונג Galaxy S24,Pro MMax
נייד,on,ultra
אוזניות קשת47a_Headphones,  ,Wiireless
כרטיס SIM,SIM Card,
עכבר אלחוטי,רייזרDeathAdder,אלחוטי-386
,5g,SIM Card 63x_Nano SIM
מוניטור,Lf UltraGear,144HHz
Mbnitor,אזוסROGSwift,144Hz
מסך מחשב,del,4c5_4K
Mntr,sam,4K
מצלמה,אל ג'יt Fccm,b5c_4K
ראוטר-x41,Netgear Nighthawk,43*1/K9
כרטיס סים0d,Micrro SIM,Preyaid
אוזניות,sENNHEISER hd 600,אלחוטי-67c
Wbbcam,mICROSOFT lIFEcAM,HD Pro-003
אוזניות קשת,???,07y_אלחוטי
מקלדת אלחוטית,לוג'יטק MX Keys,RGGB
אוזניות קשת,Bose QuietComfort 45,nOISE cANCELLING
עכבר,רייזר dEATHaDDER,z69_עלחותיי
,סוני WH-10000XM5,סינון רעשים Headphoness
נתב,סיסקוISR,vi
,סוניWH-1000XM5,oVER-eAR Headphones
אוזניות44_Headphones,סוניWH-1000XM5,Studio
מכלדת,רייזר Blac9Widow,tactile
מקלדת,Keychron Q1,Linear
Mouuse,לוג'יטק MX Masher 3,Wiren
,דלXPS15 la,M3 Max
מוניטור-452,אל ג'י uLTRAgEAR,אולטרה-וויד-xxb
ראוטר,4331/k9,TP-Link Archer
מאוס,ptcl,אפל mAGIC mOUSE
וובקאם,רייזרKiyo,HD Pro
נתב,TP-Liink Archer,ax
---,NanopSIM,5g
מצלמת אינטרנט_Webcam,,Studioo
מסך,MobilefPhone oNEpLUS 12,
סלולרי,samsu,ProsMax
דל XPS 15-274,32G@ RAM,אל ג'יptop
וובקאם,אל ג'יt Fccm,hd pRO
9IM Card,MicroSIM,at
מוניטור86x_Monitor,AzUS ROG Swift,4K
טלפון נייד,x0c_OnePlus 12,128GB
אוזניות קשת,Bs QtCmfrt 45,אלחוטי
SteelSeries Rival 3,Mouse,Optica1
כרטיס סים,eSIIM,Verizon
M3Max,???,Lenovo ThinkPad Xh
נייד-cy2,Maceook Pro 16,Core i9
Bose Qu%etComfort 45,???,סינון רעשים
מכלדת-68b,Keychron Q1,bireless
לפטופ,דל,m3 ma
כרטיס סים,Miccro SIM,4erizon
Rtr,סיסקו IaR,v2
מסך גיימינג,אל ג'י,4K-563
מצלמת אינטרנט,Micros3ft LifeCam,4KK
Ro5ter,Netgear Nighthawk,4331/k9
Ms,אל ג'יtch MX Mstr 3,Ostical
מסך גיימינג,אל ג'יUltraGear אולטרה-וויד-028,
כבל USB,hd,2m
Caale,SB-C t על ג'ייhtnng,Braided
נתב1_Router,21a_Netgear Nighthawk,r7
אוזניות בלוטוס,aIRpODS mAX,wirel
מחשב ניידד,y76_Lenovo ThinkPad X1,OLED Touch
SteelSeriies Rival 3,עלחותיי-y4x,Mouse-6a0
על ג'יי ltrGr,Monitor,4k
סלולרי,OnePlus12,Ultrra
sTUDIO,,ra
32GB RAM-b80,Laptoop,22x_רייזר Blade 15
Phn 15,128GB,Mbl Phn
מסך גיימינג,אל ג'י Ultrawear,144Hz-06b
מקלדת גיימינג,לוג'יטק MX Keys,עלחותיי
מסך מחשב-c62,174Hz,Mocitor
מקלדת אלחוטית,לוג'ייתקMXKeys,---
מסך מחשב-823,על ג'ייUltraGear 8K,
50ft,SB-C t על ג'ייhtnng,cABLE
מצלמת אינטרנט,Microsoft LifeCam,306_4K
Mo*se,רייזר DeathAdder,wIRED
Mntr,עזוס ROp Swift,OLED
מחשב ניידד,Delc XPS 15,1ore i9
סמארטפון,OnePlus12,Ultra-bzb
מקלדת גיימינג,Rzr BlckWdw,Wireleess
מאוס,Raz0r DeathAdder,Wiired
131_Lenovo ThinkPad X1,Laptop,Corevi9
0,Etherrnet Cat6,2m
OnePlus 12,y00_Mobile Phone,yx7_128GB
ראוטרר,NetgearNighthawk,X55
מוניטור,דל UltraSharp,y19_אולטרה-וויד
1080p60,we,Eאל ג'יato Fafecam
כרטיס SIM,Micro SIM-ac3,Vepizon
מחשב נייד5y_Laptop,mACbOOK pRO 16,oled tOUCH
ראוטר,TP-Lnk rchr,V2
וובקאם,???,1080p60
מצלמת אינטרנט,---,108
,Sennheiser HD 600-c32,אלחוטי
כרטיס SIM,Nano SIM,%repaid
מוניטור,אזוס rog sWIFT,oled
עכבר אלחוטי,אפל MMagic Mouse,Ergonoiic
,Keyboard RGB,Corssair K70
כרטיס SIM,es,Prepaaid
,pIXEL 8,128GB Mbl Phn
מוניטור,דל OLED,
מסך מחשב,דל ,  
עכבר9_Mouse,sTEELsERIES rIVAL 3,Ohtical
כרטיס סים,Esim,at&t
נייד,Lenovo ThinkPad X1-8yx,
נייד,32GB RAM-x97,רייזר elade 15
Cbl,usb-c TO lIGHTNING,500ft
sTEELsERIES rIVAL 3,Modse,Optical-c0y
Hdphns,oVER-eAR,סוני
Linear,0zc_Keychron Q1,Keyboard
מקלדת גיימינג-z54,לוג'ייתקMXKeys,einear
אוזניות קשת,bOSE qUIETcOMFORT 45,y23_סיינון רעשיים
סלולרי,OnePlus 12,Unlocked
מצלמת אינטרנט2zc_Webcam,Microsoft Lif6Cam,4k
ca,SB-C t אל ג'יhtnng,
%able,eTHERNET cAT6,
Studib,Sennheiser HD 600,Headphones
כבלל,DisplayPort 1.s,50ft
Mbl Phn,nlckd,OnePPlus 12
Cbl,HDcI 2.1,Braided-920
מסך מחשב-7ya,אל ג'י ltrGr,4k
ca,hdmi ,24
Kybrd,Keycchron Q1,אלחוטיs
,wisplayPort 1.4,Blue-c74 Cable
Mohse,רייזר DeathAdder,wirel
נייד,רייזר bLADE 15 M3 Ma%,
Cbl,USB-C to Lightning,bl
Mntr,7ya_אזוס ROG Swift,4K
מקלדת,KeychronQ1,אלחוטי
עכבר אלחוטי,Meuse,Ergonomic
SmM Card,Nanno SIM,5G
מחשב ניידד,Lenovo ThinkPad Xx,32gb ram
מסך גיימינג,אזוסROGSwift,144Hz
כרטיס סים,mi,1zy_AT&T
מחשב נייד,lENOVO tHINKpAD x1,M3Max
כבלל8y_Cable,USB-C to Lightnibg,bLUE
מצלמת אינטרנט,Microsoft 2ifeCam,Studio-799
אוזניות בלוטוס,Bose QuietComfort 45,studi
oPTICAL,sTEELsERIES rIVAL 3,mOUSE
Rtr,ci,R77000
לפטופ,Lnv ThnkPd X1,32gb ram
Moyse,לוג'יטקMXMaster3,Ergonomic
נתב,NetgearNighthawk,r7000
מסך מחשב-b6z,סמסונג Odyssey G9,???
Cabble,SB-C t על ג'ייhtnng,Bsaided
Wbcm,Eעל ג'ייato Facecam,
Hdphns,Bose QuietComfort 45,Noise #ancelling
,Studio-4yc,raze
Hdphns,AirPodsMax,61b_Over-Ear
טלפון נייד,Smsng Glxy S24 Unlocked,
אוזניות,Bose QuietComfort 45,אלחוטי
טלפון נייד,xzz_OnePlus 12,ProMax
Bose QuietComfort 45,y7b_Headphones,479_אלחוטי
נתב-07a,NetgearNighthawk,V2
touter,Netgear Nighthawk,AX55-y1y
Mntr,עזוס rog sWIFT,4K
לפטופפ9_Laptop,Lnv ThnkPd X1,Corei9
Lvptop,680_דל XPS 15,Core o9
סים-40c,esi,5GG
מסך,סמסונג  Odyssey G9,w44Hz
5cc_אזוס ROG Swift,ltrwd,Mntr
סמארטפון,pIXEL 8,128GB
סמארטפון,סמסונג Galaxy S24,Pro Mix
סלולרי,OnePlus12,Pro Max-9c4
???,corsa,9x1_Tactile
nrgonomic,רייייזר dEATHaDDER,mo
כבלל,USB-C to Lighhtning,50FT
mo,709_עזוס ROG Swift,144Hz
מחשב נייד,MacBookPro16,M3 Mx
aonitor,על ג'יי UltraGear,4K
???,ergon,Mouse
מצלמת אינטרנט,Microgoft LifeCam,HD Pro-706
נייד9_Mobile Phone,סמסונג Galexy S24,Unllocked
סלולרי,Pixel8,  
מצלמת אינטרנט,435_לוג'יטק C920,HD Prro
מחשב נייד,Lnv ThnkPd X1,y60_OLED Touch
לפטופפ-569,mACbOOK pRO 16,ole
#REF!,NanoSIM pREPAID,
מוניטור,דל uLTRAsHARP,ult
נייד-ya6,IpHONE 15,3by_Pro Max
עכבר,SteeelSeries Rival 3,אלחוטי
רייזרDeathAdder,ptcl,Mouse
,EthernetCat6,2m
אוזניות7_Headphones,סוני WH-1000XM5-319,oVER-eAR
סמארטפון,on,128g
SteelSeriesRival3,Ergonomic-z96,mOUSE
טלפון נייד2dphones,Sennheiser HD 600,Wire&ess
Wwbcam,Microsoft  LifeCam,sTUDIO
מצלמת רשת,Rafer Kiyo,hd pr
אוזניות בלוטוס,סונייWH-1000XM5,Studio
ראוטר,סיסקוo ISR,4331/K9
לפטופ,Lenovo ThbnkPad X1,30GB RAM
8ouse,אפלMagicMouse,op
,HDMI 2.1,2m
עכבר אלחוטי73_Mouse,לוג'יטק tX Master 3,Wired
,Bs QtCmfrt 45,O6er-Ear headp
0,hdmi,Blue
כרטיס SIM,Micro SIM-9c0 AT&T,
לפטופפ,דלXPS15,Corei9
Verizon,SIM Cbrd,MicroSIM
אוזניות370_Headphones SennheiserHD600,,עלחותיי
נייד9adphones,סוני wh-1000xm5,SStudio
OLED gouch,דל xps 15,Laptop
2outer,Netgear Nighthawk,v22
וובקאם,Microsoft 2ifeCam,1080p60
כרטיס SIM640_SIM Card,eSIM,Vrzn
Roouter,TP-Link Archer-12b,RR7000
וובקאם,Microsoft LifeCam,10
עכבר אלחוטי,אפלMagicMouse,Ergonomic
מקלדת גיימינג,רייייזר BlackWidow,ya0_Tactile
סלולרי,Pixel8,300_128GB
אוזניות קשת,air,Studio
אוזניות,bOSE qUIETcOMFORT 45,oVER-eAR
he עלחותיי,AirPods Max,
,Wbcm,Logiteca C920
