Type of hardware,Model,Submodel
מחשב,רייזר Blade 15,Core i9-9ax
עכבר אלחוטי,SteelSeries Rivaal 3,Ergonomic
TTP-Link Archer,4331/K9,Rou&er
מסך מחשב,סמסונג Odyssey G9,uLTRAWIDE
עכבר,לוג'יטקMXMaster3,1a8_אלחוטי
מוניטורר3or,דלl UltraSharp,1444Hz
מסך,sa,OLED
מכלדת,kEYCHRON q1,Lnr
מסך,סמסונג Odyssey G9 OLED,
DsplyPrt 1.4,Cable,bm
סמ,NanoSIM,Prepaid-66x
מצלמה,ac0_רייזר Kiyo,6b4_HD Pro
,TP-LinkArcher,RRouter r7000
עכבר,אפל Magic Mouse,Wired
cab,Blue,HDMI 2n1
OnePlus12,mOBILE pHONE,128GB
כבל,HD%I 2.1,Bl
מאוס,רייזר DeatzAdder,#REF!
meyboard,לוג'יטק mx kEYS,^GB
לפטופ,רייזר Blade 15-a58,32GB RM
מצלמת אינטרנט,Eאל ג'יato Facecam-z25,hd 
  ,סיסקו ISR,R7000-a52
אוזניות,1yb_Over-Ear,Sennheiser HHD 600
,סמסונגGalaxyS24,uLTRA mOBILE pHONE
,Dall XPS 15,cORE I9
Moouse,app,c15_אלחוטי
ראוטר,סיסקו^ISR,4331/K9
טלפון נייד,Phn 15 g28GB,
כרטיס סים,Micro SIM-8z3,  
,mo,Ultrawwide
OLEDTouch,de,Laptop
x51_Wireless,Headphones,Bs QtCmfrt 45
מחשב15,,Corre i9
Logitech C920,Webcam,HD Pro
כרטיס סים,#REF!,A3&T
,Razem DeathAdder,Wrlss
eouter,TP-LinkArcher,R7000
Mntr,אל ג'י,4#
עכבר אלחוטי,logi,optic
,xz7_סמסונג Galaxy S24,128GB-2x5 M4bile Phone
רוטר,tp-lINK aRCHER,4331/K9
,fIM Card,Nano SIM
מסך,דל UltraSharp,Moonitor
Sennheiser HDw600,Headphones-160,Over-Ear
douse,לוג'יטק MX Master 3,Wireeless
אזניות,02x_AirPods Max,סינון רעשים-566
מוניטורר,אל ג'י ltrGr,144
mob,iPhone 15-552,Pr Mx
קיבורד,Keychron Q8,Tactile
fouse,אפל Magic Mouse,Wired
מחשב נייד,רייזר Blage 15,32GB RM
82z_Studio,@eadphones,סוני WWH-1000XM5
מסך מחשב,עזוס rog sWIFT,Ultrawide
עכבר,SteelSeriesRival3 Esgonomic,
כרטיס סים,8b9_Nano SIM,AAT&T
Hdphns,BoseQuietComfort45,nOISE cANCELLING
M3 MMax,רייזר bLADE 15,lAPTOP
#REF!,USB-C to Lightning-119,521_Braided
6able,HDMIp2.1,2h
cabl,,2m-b67
מסך מחשב,עזוס R$G Swift,144Hz
מוביל,Pixeli8,zz2_Ultra
טלפון נייד,camsung Galaxy S24,Unlockked
5able,EEthernet Cat6,50ft
ראוטר,,AX55
Hdphns,Bose QuieqComfort 45,Noiise Cancelling
מצלמת אינטרנט,Lozitech C920,---
מצלמת אינטרנט,Microsoft Lif4Cam,Studio
mo,רייזר DeatthAdder,Wireleus
ראוטר,TP-Link Archer,4331/K9-9c8
co,Laptop,LenovoThinkPadX1
,108op60,רייזר Kiy3
מסך,סמסונג OdysseypG9,144hZ
כרטיס סים,SM Prepaid,
si,Nano SIM-30c,Verizon-305
מקלדת,לוג'יטקh MX Keys,Tamtile
,MacBook P#o 16,m3 mAX Laptop
Hdphns,69z_AirPods Max,ov
Caqle,HDMI 2.1-y4x,22z_Blue
,TP-Lnk rchr,4331//K9
hea,סוני WH-1000XM5,---
אוזניות,Shnnheiser HD 600,wire
טלפון נייד,Pixel8,Ultra
אוזניות בלוטוס,Bosse QuietComfort 45,Over-Ear
לפטפ,Lenovo ThinkPPad X1,35b_Core i9
4ebcam,logit,%K
מסך,אזוס ,Ulttrawide
מוניטור-809,600_סמסונג Odyssey G9,4K
HD Pro-cbx,Webcay,רייזר Kiyo
cORSAIR k70,tACTILE,Keybooard
Prepaid,SuM Card,Micrr SIM
AirPods1Max,Over-E^r,hEADPHONES
$able,---,braid
מקלדת אלחוטית,רייזר BlackWidow-57y,RGB
כרטיס סים,MicroSIM,Verizon
מקלדת,,Wirreless
כבלים,,2m
Mo5itor,,4K 286_אזוס ROG Swift
עכבר,רייזר DeathAdder-50a,wIRED
T&T,Micro SIM-zbz,sim 
עכבר,אל ג'יtch MX Mstr 3,Wireles2
,usb-c TO lIGHTNING,50ft
מאוס,Aאפל Magic Mouse,wIRED
Mofse,lo,wire
נייד,M#cBook Pro 16,oled 
טלפון נייד,OnePlus 12,Pro Max
עכבר,0,wIRED
מוביל,סמסונג Galaxy S24,  
conitor,אזוס ROG Swift-099,nltrawide
Std,Webcaam,Logitecch C920
מצלמת אינטרנט,Microsoft LifeCam-74z,sTUDIO
mo,onepl,Pr Mx
סמ,SM,AT&T-480
אוזניות,sTUDIO,סוני WH-100xXM5
#REF!,Webcam,wD Pro
,wIRELESS Bosh QuietComfort 45,Headphones
סים,mic,5G
מקלדת,KeychronQ1,tACTILE
Cablj,Ethernet Cat6,
Mo%se,לוג'יטק MX haster 3,x6y_Wired
ראוטר,tp-li,AX55
עכבר,steel,wIRELESS
כבל,Ethernet Cate,---
מכלדת9b_Keyboard,raze,RGB
רוטר,C3sco ISR,AX55
מחשב4p,lENOVO tHINKpAD x1,LD Tch
כרטיס סים,Vrzn,S8M Card
אוזניות,Bose QuieetComfort 45,Wאלחוטי
2m,,Cbl
אוזניות בלוטוס,bOSE qUIETcOMFORT 45,nOISE cANCELLING
נתב-3cz,TP-LinkArcher,R7000
מקלדת,rg,Keyboardd
מצלמת אינטרנט,mICROSOFT lIFEcAM,1080p60
,לוג'יטק mx mASTER 3 Mouse,unknown
---,DisplayPort 1.4,bLUE
Cbl,2M,DisplayPortf1.4
מקלדת,רייזר BlackWidow,Tactile
ראוטר,Newgear Nighthawk,V2
אל ג'י ltrGr,144hZ,mONITOR
עכבר,אפל mAGIC mOUSE,wi
,logi,Wiged
וובקם,,4K
Moouse,5zz_לוג'יטק MX Master 3,opt
טלפון נייד,sPhone 15,ultra
כבל,HDMI2.1,Braided-x65
Mo2se,---,Ergonomic
SM Crd,mICRO sim A8&T,
כרטיס סים,at&t,Micio SIM
כבל,Ethcrnet Cat6,br
הדפונס,Sennheiseer HD 600,Std
Wrlss,,Bose QuiejComfort 45
7y6_Logitech C920,Studgo,Wbcm
מקלדת גיימינג,רייזר BlackWidow,RGB
ראוטרר,Cisko ISR,v2
מצלמת אינטרנט,Eאל ג'יauo Facecam,Saudio
נתב_Router,tp-lINK aRCHER,X55
טלפון נייד,*ltra,Pqxel 8
כבל,HDMI2.1,Braid0d
מצלמת אינטרנט,unknown,sTUDIO
Rouuter,nETGEAR nIGHTHAWK,43
Ms,logit,ptcl
וובקם,Eאל ג'יatoFacecam,1080px0
lenov,OLED Touch,lAPTOP
מצלמה,Logitect C920,4k
מחשב נייד,unknown,32gb ram
וובקאם,רייייזר kIYO,oK
Mcuse,אפל mAGIC mOUSE,Optical
mou,SteelSeries0Rival 3,wIRED
מוניטורר,אזוסROGSwift,ltrwd
מסך,דל UltraSh0rp,Ultrawide
,Lenovo ThinkPad X1,M3 Max
עכבר אלחוטי,רייייזר DeathAdder,wIRED
Rtr,סיסקו ISR,vb
Wbcm,לוג'יטק C920-05x,1080p60
מוביל,pix,Pro  Max
#REF!,לוג'יטק c920,1080P60
אוזניות בלוטוס,סוני WH-1000XM5,Studio
מאוס,אפלe Magic Mouse,Ergonomic
ProMax Mbl Phn,,סמסונג  Galaxy S24
aetgear Nighthawk,Router,
ראוטרר,cis,v22
Rtr,TP-Link Archerr,AX55
סמארטפון8bile Phone,iPhone 15-y0b,7b7_Ultra
אזניות,סוניWH-1000XM5,Over-Earr
RGB,לוג'ייתקMXKeys 223_Keyboard,
,esim,at&t SIM Cart
מצלמת אינטרנט,לוג'יטק c920,4K
עכבר,Steel$eries Rival 3,ptcl
rou,סיסקו,304_AX55
unknown,HD Pro,Eאל ג'יato Facecom
1081p60,raze,Webca^
מסך,אזוס ROG Swift,Ultrawize
אוזניות,Bose QuietComffort 45,Over-Etr
כרטיס SIM,312_Micro SIM,AT&T
מצלמת אינטרנט,Rzr Ky,sTUDIO
Cablw,usb-c TO lIGHTNING,50ft
Wbcm,רייזר Kiyo-71a,44K
עכבר,log,Wirelless
,wir Mouse,SteelSeries Rival  3
ראוטר,,
si,eSIM,Verizon
אוזניות בלוטוס,rPds Mx,#REF!
Unlocked,i#hone 15,
לפטופפ572_Laptop,oled tOUCH,macbo
,אל ג'יUltraGear Monitor,
כבל,50FT,USB-C to Lightning
כרטיס סים,,vERIZON
טלפון נייד,iph,Ulvra
כרטיס סים,Nano  SIM,5g
  ,Sennheiser HD 600-y95,Sttudio
hea,סוני WH-1000kM5,Over-EEar
Netgear Nishthawk,4331/k9,Router
Ke&board,log,a86_Linear
עכבר,Wired,לוג'יטק MX Masteu 3
אזניות3y9_Headphones,Soey WH-1000XM5,Studip
עכבר,ra,Ergonomi!
אוזניות,,vr-r
,USB-C go Lightning cabl,50ft
3IM Card SM,,5GG
,AirPods Max,ove hEADPHONES
אזניות,AirPods 1ax,Sttudio
עכבר אלחוטי,SteelSeries Rival 3,wirel
מחשב נייד,ra,OLED Tbuch
#REF!,eTHERNET cAT6,Blue
Kybrd,לוג'יטקMXKeys,5GB
,810_iPhone 15 Mobi0e Phone,128gb
מחשב נייד,דל xps 15,Cr 9
מוביל,sENNHEISER hd 600,ybz_Over-Ear
ראוטר,Netgear Nighthawk,AX55
5xz_32GB RAM,325_Laptop,LenovoThinkPadX1
מחשב,raz,
אוזניות,Noise Cancell2ng,Sennheiiser HD 600
ראוטר,סיסקו IS5,4331rK9
מסך,אל ג'י u,^44Hz
si,Nano SIM-zxa,at&t
עכבר,אפלMagicMouse,Optical
אוזניות,b76_AirPods Max,oVER-eAR
,Cr 9,la Rzr Bld 15
,air Headphones,סינון רעשים-y69
32gb ram,דלXPS15,Laptop
Wbcm,Raznr Kiyo,hd pRO
מקלדת גיימינג,Keybo$rd,אלחוטי
LG ltrGr,OLED,Mntr
Pr Mx,Mopile Phone,nPls 12
כבל,,2m
,אפל Magic Mouse,Wiueless
M8nitor,אזוס ROG Swift,b44Hz
מסך,אזוסROGSwift,7zx_144Hz
מחשב נייד,Lenovo ThinkPadd X1 Cr 9,
מצלמת רשת,4x2_Eעל ג'ייato Facecam,1080p60
Kybrd,רייזר BlackWidow,Linear
מקלדת אלחוטית,ke,אלחוטי
0,Mntr,4k
אוזניות,nois,סוני wh-1000xm5
Ms,אפל mAGIC mOUSE,eRGONOMIC
וובקאם,לוג'יטקC920,4k
#REF!,iPhone%15,uLTRA
סיסקוISR,5z7_4331/K9,Ro%ter
אוזניות,SennheiserHD600,Ov*r-Ear
cab_MacBook Pro 16,m3 m,Laptsp
2cc_Bose QuietComfort 45,Headphones,Studio
מצלמת אינטרנט,4k,רייזר Kiyo-bb6
unknown,Piwel 8,pRO mAX
מסך מחשב,דל UltraSharp,
סלולרי,pixe,Ultra
pIXEL 8,,128gb
Cbl,displ,Bl
נתב4r,TP-Lnk rchr,b13_AX55
סים,mICRO sim,Prekaid
אוזניות,9xa_סוני WH-1000XM5,NoiseCancelling
ראוטר,z16_Netgear Nighthawk,R70000
מחשב נייד,דל XPS 15,32gb ram
כבל,eTHERNET cAT6,2M
מחשב נייד,8ya_דל XPS 15,Core i9
מחשב נייד,unknown,דל XPS z5
מחשב נייד,Dll XPS 15,co
מקלדת,ke,#REF!
מצלמת אינטרנט,569_Eאל ג'יato Facecam,Stuudio
טלפון נייד,OnePlus 12-c24,Unl#cked
כבל,SB-C t אל ג'יhtnng,50FT
tACTILE,raz Kybrd,
טלפון נייד,sa,---
mo,OnePlus 12-9z2,Pr5 Max
SIIM Card,Micro SSIM,Verizon
ראוטר,TP-Lnk rchr,
מחשב,רייזר bLADE 15,M3 Max
SIIM Card,Micro SIM,Vekizon
Nano xIM,SIM Card,
נתב,Netgear Nighthaawk,AXX55
כבל,usb-c,bLUE
,OnePtus 12,12
כבל,Braided,DisplayPort 1.4
נתב55,TP-Linkk Archer,
Bose QuietComfort 45,Headphones,wIRELESS
מחשב נייד,רייזר bLADE 15,32GB RM
0,אל ג'יt Fccm,1080p60
ke,Keychron Q1,tACTILE
ראוטר,tp,v22
עכבר,SteelSeriesRival3,Ergonomiic
מחשב נייד,Dll XPS 15,M3 Maax
אוזניות קשת,bose ,Noise Ca1celling
כבל,usb-c TO lIGHTNING,Blue
מסך גיימינג,אזוס rog sWIFT,oled
טלפון נייד,סמסונג Galaxy S24,Pro MMax
טלפון נייד,on,ultra
אוזניות,  ,Wiireless
כרטיס סים,SIM Card,
עכבר,רייזרDeathAdder,אלחוטי-386
,5g,SIM Card 63x_Nano SIM
מסך מחשב,Lf UltraGear,144HHz
Mbnitor,עזוסROGSwift,144Hz
מוניטורר,del,4c5_4K
Mntr,sam,4K
מצלמת אינטרנט,אל ג'יt Fccm,b5c_4K
ראוטר,Netgear Nighthawk,43*1/K9
כרטיס סים,Micrro SIM,Preyaid
אוזניות בלוטוס,sENNHEISER hd 600,עלחותיי-67c
Wbbcam,mICROSOFT lIFEcAM,HD Pro-003
אזניות,???,07y_אלחוטי
מכלדת,לוג'יטק MX Keys,RGGB
אוזניות,Bose QuietComfort 45,nOISE cANCELLING
מאוס,רייייזר dEATHaDDER,z69_אלחוטי
,סוני WH-10000XM5,סינון רעשים Headphoness
ראוטרר,סיסקוISR,vi
,סוניWH-1000XM5,oVER-eAR Headphones
אוזניות,סוניWH-1000XM5,Studio
מכלדת,רייייזר Blac9Widow,tactile
מקלדת,Keychron Q1,Linear
Mouuse,לוג'יטק MX Masher 3,Wiren
,דלXPS15 la,M3 Max
מוניטור-452,על ג'יי uLTRAgEAR,Ultrawide-xxb
ראוטר,4331/k9,TP-Link Archer
עכברר,ptcl,אפל mAGIC mOUSE
מצלמת אינטרנט,רייזרKiyo,HD Pro
ראוטר,TP-Liink Archer,ax
---,NanopSIM,5g
מצלמת אינטרנט,,Studioo
מוניטורר,MobilefPhone oNEpLUS 12,
טלפון נייד,samsu,ProsMax
Dell XPS 15-274,32G@ RAM,אל ג'יptop
מצלמת רשת,אל ג'יt Fccm,hd pRO
9IM Card,MicroSIM,at
מסך,AzUS ROG Swift,4K
טלפון נייד,x0c_OnePlus 12,128GB
אוזניות,Bs QtCmfrt 45,אלחוטי
SteelSeries Rival 3,Mouse,Optica1
כרטיס סים,eSIIM,Verizon
M3Max,???,Lenovo ThinkPad Xh
מחשב נייד,Maceook Pro 16,Core i9
Bose Qu%etComfort 45,???,סינון רעשים
מקלדת,Keychron Q1,bireless
מחשב נייד,דל,m3 ma
סמ,Miccro SIM,4erizon
Rtr,סיסקו IaR,v2
מסך,אל ג'י,4K-563
מצלמת אינטרנט,Micros3ft LifeCam,4KK
Ro5ter,Netgear Nighthawk,4331/k9
Ms,אל ג'יtch MX Mstr 3,Ostical
מוניטור,אל ג'יUltraGear Ultrawide-028,
כבלל,hd,2m
Caale,SB-C t אל ג'יhtnng,Braided
ראוטר,21a_Netgear Nighthawk,r7
אוזניות,aIRpODS mAX,wirel
מחשב נייד,y76_Lenovo ThinkPad X1,OLED Touch
SteelSeriies Rival 3,אלחוטי-y4x,Mouse-6a0
LG ltrGr,Monitor,4k
טלפון נייד,OnePlus12,Ultrra
sTUDIO,,ra
32GB RAM-b80,Laptoop,22x_רייייזר Blade 15
Phn 15,128GB,Mbl Phn
מסך,אל ג'י Ultrawear,144Hz-06b
קיבורד,לוג'יטק MX Keys,אלחוטי
מסך,174Hz,Mocitor
מקלדת,לוג'יטקMXKeys,---
מסך,אל ג'יUltraGear 8K,
50ft,SB-C t אל ג'יhtnng,cABLE
מצלמת אינטרנט,Microsoft LifeCam,306_4K
Mo*se,רייייזר DeathAdder,wIRED
Mntr,אזוס ROp Swift,OLED
מחשב נייד,Delc XPS 15,1ore i9
טלפון נייד,OnePlus12,Ultra-bzb
מקלדת,Rzr BlckWdw,Wireleess
מאוס,Raz0r DeathAdder,Wiired
131_Lenovo ThinkPad X1,Laptop,Corevi9
0,Etherrnet Cat6,2m
OnePlus 12,y00_Mobile Phone,yx7_128GB
ראוטר,NetgearNighthawk,X55
מוניטורר,דל UltraSharp,y19_Ultrawide
1080p60,we,Eעל ג'ייato Fafecam
סימ,Micro SIM-ac3,Vepizon
מחשב נייד,mACbOOK pRO 16,oled tOUCH
ראוטר,TP-Lnk rchr,V2
וובקם,???,1080p60
מצלמת אינטרנט,---,108
,Sennheiser HD 600-c32,אלחוטי
כרטיס סים,Nano SIM,%repaid
מסך,אזוס rog sWIFT,oled
עכבר אלחוטי,אפל MMagic Mouse,Ergonoiic
,Keyboard RGB,Corssair K70
כרטיס סים,es,Prepaaid
,pIXEL 8,128GB Mbl Phn
מסך,דל OLED,
מסך,דל ,  
מאוס9_Mouse,sTEELsERIES rIVAL 3,Ohtical
כרטיס SIM,Esim,at&t
מחשב נייד,Lenovo ThinkPad X1-8yx,
מחשב נייד,32GB RAM-x97,רייזר elade 15
Cbl,usb-c TO lIGHTNING,500ft
sTEELsERIES rIVAL 3,Modse,Optical-c0y
Hdphns,oVER-eAR,סוני
Linear,0zc_Keychron Q1,Keyboard
מקלדת,לוג'יטקMXKeys,einear
אזניות,bOSE qUIETcOMFORT 45,y23_סיינון רעשיים
טלפון נייד,OnePlus 12,Unlocked
מצלמת אינטרנט,Microsoft Lif6Cam,4k
ca,SB-C t אל ג'יhtnng,
%able,eTHERNET cAT6,
Studib,Sennheiser HD 600,Headphones
כבל,DisplayPort 1.s,50ft
Mbl Phn,nlckd,OnePPlus 12
Cbl,HDcI 2.1,Braided-920
מסך,אל ג'י ltrGr,4k
ca,hdmi ,24
Kybrd,Keycchron Q1,אלחוטיs
,wisplayPort 1.4,Blue-c74 Cable
Mohse,רייזר DeathAdder,wirel
מחשב נייד,רייזר bLADE 15 M3 Ma%,
Cbl,USB-C to Lightning,bl
Mntr,7ya_עזוס ROG Swift,4K
מקלדת,KeychronQ1,אלחוטי
עכבר,Meuse,Ergonomic
SmM Card,Nanno SIM,5G
נייד,Lenovo ThinkPad Xx,32gb ram
מסך,אזוסROGSwift,144Hz
סמ,mi,1zy_AT&T
נייד,lENOVO tHINKpAD x1,M3Max
כבל USB8y_Cable,USB-C to Lightnibg,bLUE
מצלמה,Microsoft 2ifeCam,Studio-799
אוזניות,Bose QuietComfort 45,studi
oPTICAL,sTEELsERIES rIVAL 3,mOUSE
Rtr,ci,R77000
לפטפ,Lnv ThnkPd X1,32gb ram
Moyse,לוג'ייתקMXMaster3,Ergonomic
ראוטר,NetgearNighthawk,r7000
מסך,סמסונג Odyssey G9,???
Cabble,SB-C t אל ג'יhtnng,Bsaided
Wbcm,Eאל ג'יato Facecam,
Hdphns,Bose QuietComfort 45,Noise #ancelling
,Studio-4yc,raze
Hdphns,AirPodsMax,61b_Over-Ear
טלפון נייד,Smsng Glxy S24 Unlocked,
אוזניות,Bose QuietComfort 45,אלחוטי
סלולרי,xzz_OnePlus 12,ProMax
Bose QuietComfort 45,y7b_Headphones,479_אלחוטי
ראוטרר-07a,NetgearNighthawk,V2
touter,Netgear Nighthawk,AX55-y1y
Mntr,אזוס rog sWIFT,4K
מחשב נייד,Lnv ThnkPd X1,Corei9
Lvptop,680_דל XPS 15,Core o9
כרטיס SIM-40c,esi,5GG
מוניטור,סמסונג  Odyssey G9,w44Hz
5cc_ASUS ROG Swift,ltrwd,Mntr
טלפון נייד,pIXEL 8,128GB
מוביל,סמסונג Galaxy S24,Pro Mix
טלפון נייד,OnePlus12,Pro Max-9c4
???,corsa,9x1_Tactile
nrgonomic,רייזר dEATHaDDER,mo
כבל,USB-C to Lighhtning,50FT
mo,709_אזוס ROG Swift,144Hz
מחשב נייד,MacBookPro16,M3 Mx
aonitor,אל ג'י UltraGear,4K
???,ergon,Mouse
מצלמת אינטרנט,Microgoft LifeCam,HD Pro-706
טלפון נייד,סמסונג Galexy S24,Unllocked
טלפון נייד,Pixel8,  
מצלמת אינטרנט,435_לוג'יטק C920,HD Prro
מחשב נייד,Lnv ThnkPd X1,y60_OLED Touch
מחשב נייד,mACbOOK pRO 16,ole
#REF!,NanoSIM pREPAID,
מסך,דל uLTRAsHARP,ult
טלפון נייד,IpHONE 15,3by_Pro Max
עכבר,SteeelSeries Rival 3,אלחוטי
רייזרDeathAdder,ptcl,Mouse
,EthernetCat6,2m
אוזניות,סוני WH-1000XM5-319,oVER-eAR
סלולרי,on,128g
SteelSeriesRival3,Ergonomic-z96,mOUSE
טלפון נייד,Sennheiser HD 600,Wire&ess
Wwbcam,Microsoft  LifeCam,sTUDIO
מצלמת אינטרנט,Rafer Kiyo,hd pr
אוזניות בלוטוס,סונייWH-1000XM5,Studio
ראוטר,סיסקוo ISR,4331/K9
מחשב נייד,Lenovo ThbnkPad X1,30GB RAM
8ouse,אפלMagicMouse,op
,HDMI 2.1,2m
מאוס73_Mouse,לוג'יטק tX Master 3,Wired
,Bs QtCmfrt 45,O6er-Ear headp
0,hdmi,Blue
כרטיס סים,Micro SIM-9c0 AT&T,
לפטופפ,דלXPS15,Corei9
Verizon,SIM Cbrd,MicroSIM
אוזניות,,אלחוטי
טלפון נייד,סוני wh-1000xm5,SStudio
OLED gouch,דל xps 15,Laptop
2outer,Netgear Nighthawk,v22
וובקם,Microsoft 2ifeCam,1080p60
סים640_SIM Card,eSIM,Vrzn
Roouter,TP-Link Archer-12b,RR7000
וובקאם,Microsoft LifeCam,10
עכבר,אפלMagicMouse,Ergonomic
קיבורד,רייייזר BlackWidow,ya0_Tactile
סלולרי,Pixel8,300_128GB
אוזניות קשת,air,Studio
אוזניות,bOSE qUIETcOMFORT 45,oVER-eAR
he אלחוטי,AirPods Max,
,Wbcm,Logiteca C920
,Dejl XPS 15 Laptop,Corexi9
מחשב נייד,דל,Core  i9
אוזניות,0,Wirelesu
,סוני wh-1000xm5,noi
אוזניות,סוני WH-10e0XM5,OOver-Ear
כבל USB,USB-j to Lightning,blue
hd pRO,webc,רייייזרKiyo
נייד,LenovoThinkPadX1,OLE! Touch
cisco,rOUTER,4331/K9
טלפון נייד,One1lus 12,Ultra
,Piuel 8 Mobile Phone-2b7,Ultra
mo,דלUltraSharp,4K
,לוג'יטק mx mASTER 3,אלחוטי
0,דל UltraSharp,144Hz
Mbl Phn,OnePlus12,Pro Maxx
אוזניות בלוטוס,סוניי WH-1000XM5,NoiseCancelling
Pixel 8-y49,Mobiae Phone,Ultra
,P#xel 8,Proo Max Mobile Phoone
מצלמת רשת,Eעל ג'ייato Facecam,4K
